City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,el granada,37.5027,-122.4694,20.46,91,100,5.14,US,1699244997
244,taroa,8.7058,171.2275,28.27,74,100,9.54,MH,1699244997
245,sanctuary point,-35.1114,150.629,20.11,55,58,5.75,AU,1699244998
246,sinop,41.7711,34.8709,12.24,66,4,3.31,TR,1699244998
247,kununurra,-15.7667,128.7333,36.99,39,94,4.12,AU,1699244998
248,pont rouge,48.8833,-72.0825,-3.84,75,11,2.27,CA,1699244999
249,peterhead,57.5058,-1.7981,2.22,81,39,2.75,GB,1699244999
250,tierralta,8.1736,-76.0592,24.0,92,100,1.64,CO,1699244999
251,fort bragg,35.139,-79.006,11.36,87,0,0.0,US,1699244999
252,kapoeta,4.7717,33.5903,20.91,88,100,0.53,SS,1699244999
253,tambopata,-12.7333,-69.1833,25.08,69,95,1.26,PE,1699245000
254,leribe,-28.8718,28.045,16.86,59,52,2.25,LS,1699245000
255,portland,45.5234,-122.6762,12.47,95,100,1.34,US,1699244578
256,port blair,11.6667,92.75,29.02,79,75,3.6,IN,1699245000
257,kidal,18.4411,1.4078,24.63,9,2,3.15,ML,1699244778
258,fisterra,42.9049,-9.2629,12.08,62,20,10.48,ES,1699245001
259,cestos city,5.46,-9.5828,25.37,89,11,1.74,LR,1699245002
260,general conesa,-40.1,-64.4333,21.44,28,100,5.11,AR,1699245002
261,murrells inlet,33.551,-79.0414,11.03,82,0,1.54,US,1699245003
262,acoyapa,11.9703,-85.1711,24.52,94,100,0.21,NI,1699245004
263,chimore,-16.9833,-65.1333,26.89,59,100,0.93,BO,1699245004
264,manismata,-2.4667,111.0333,30.81,65,100,1.51,ID,1699245005
265,camiri,-20.05,-63.5167,22.09,64,78,1.24,BO,1699245005
266,lazaro cardenas,17.9583,-102.2,25.82,87,29,0.89,MX,1699244864
267,patong,7.8961,98.2966,31.08,71,98,1.45,TH,1699245006
268,al fuwayliq,26.4432,43.2534,21.74,45,8,2.18,SA,1699245006
269,luganville,-15.5333,167.1667,26.38,85,85,4.56,VU,1699245007
